id,title,author,created_at,hn_url,points,num_comments
45800465,Ask HN: Who is hiring? (November 2025),whoishiring,2025-11-03T16:00:00Z,https://news.ycombinator.com/item?id=45800465,401,588
45438503,Ask HN: Who is hiring? (October 2025),whoishiring,2025-10-01T15:01:06Z,https://news.ycombinator.com/item?id=45438503,247,471
45093192,Ask HN: Who is hiring? (September 2025),whoishiring,2025-09-01T15:01:02Z,https://news.ycombinator.com/item?id=45093192,267,449
44757794,Ask HN: Who is hiring? (August 2025),whoishiring,2025-08-01T15:00:05Z,https://news.ycombinator.com/item?id=44757794,242,451
44434576,Ask HN: Who is hiring? (July 2025),whoishiring,2025-07-01T15:01:36Z,https://news.ycombinator.com/item?id=44434576,273,458
44159528,Ask HN: Who is hiring? (June 2025),whoishiring,2025-06-02T15:01:18Z,https://news.ycombinator.com/item?id=44159528,370,531
43858554,Ask HN: Who is hiring? (May 2025),whoishiring,2025-05-01T15:00:46Z,https://news.ycombinator.com/item?id=43858554,263,439
43547611,Ask HN: Who is hiring? (April 2025),whoishiring,2025-04-01T15:01:11Z,https://news.ycombinator.com/item?id=43547611,279,497
43243024,Ask HN: Who is hiring? (March 2025),whoishiring,2025-03-03T16:01:41Z,https://news.ycombinator.com/item?id=43243024,391,520
42919502,Ask HN: Who is hiring? (February 2025),whoishiring,2025-02-03T16:00:43Z,https://news.ycombinator.com/item?id=42919502,490,621
42575537,Ask HN: Who is hiring? (January 2025),whoishiring,2025-01-02T16:00:09Z,https://news.ycombinator.com/item?id=42575537,335,483
42297424,Ask HN: Who is hiring? (December 2024),whoishiring,2024-12-02T16:00:52Z,https://news.ycombinator.com/item?id=42297424,386,473
42017580,Ask HN: Who is hiring? (November 2024),whoishiring,2024-11-01T15:01:57Z,https://news.ycombinator.com/item?id=42017580,379,494
41709301,Ask HN: Who is hiring? (October 2024),whoishiring,2024-10-01T15:00:16Z,https://news.ycombinator.com/item?id=41709301,363,484
41425910,Ask HN: Who is hiring? (September 2024),whoishiring,2024-09-02T15:00:06Z,https://news.ycombinator.com/item?id=41425910,437,485
41129813,Ask HN: Who is hiring? (August 2024),whoishiring,2024-08-01T15:00:34Z,https://news.ycombinator.com/item?id=41129813,383,468
40846428,Ask HN: Who is hiring? (July 2024),whoishiring,2024-07-01T15:01:49Z,https://news.ycombinator.com/item?id=40846428,496,606
40563283,Ask HN: Who is hiring? (June 2024),whoishiring,2024-06-03T15:01:54Z,https://news.ycombinator.com/item?id=40563283,391,550
40224213,Ask HN: Who is hiring? (May 2024),whoishiring,2024-05-01T15:00:54Z,https://news.ycombinator.com/item?id=40224213,549,731
39894820,Ask HN: Who is hiring? (April 2024),whoishiring,2024-04-01T15:00:56Z,https://news.ycombinator.com/item?id=39894820,377,485
39562986,Ask HN: Who is hiring? (March 2024),whoishiring,2024-03-01T16:00:03Z,https://news.ycombinator.com/item?id=39562986,368,483
39217310,Ask HN: Who is hiring? (February 2024),whoishiring,2024-02-01T16:00:08Z,https://news.ycombinator.com/item?id=39217310,418,537
38842977,Ask HN: Who is hiring? (January 2024),whoishiring,2024-01-02T16:01:18Z,https://news.ycombinator.com/item?id=38842977,405,481
38490811,Ask HN: Who is hiring? (December 2023),whoishiring,2023-12-01T19:07:02Z,https://news.ycombinator.com/item?id=38490811,502,504
